data,_freq
1117012900|서울특별시 용산구 이촌로88길 30|이촌동삼성리버스위트,1
1117012900|서울특별시 용산구 이촌로88길 3|점보,1
1117012900|서울특별시 용산구 이촌로64길 15|LG한강자이,1
1117012900|서울특별시 용산구 이촌로 324-10|반도,1
1117012900|서울특별시 용산구 이촌로46길 2|타워맨션,1
1117012900|서울특별시 용산구 이촌로62길 9|미주B,1
1117012900|서울특별시 용산구 이촌로75길 6|로얄맨숀,1
1117012900|서울특별시 용산구 이촌로 310|래미안첼리투스아파트,1
1117012900|서울특별시 용산구 이촌로 260|삼익,1
1117012900|서울특별시 용산구 이촌로88길 15|왕궁,1
1117012900|서울특별시 용산구 이촌로 248|한강맨숀,1
1117012900|서울특별시 용산구 이촌로 177|두산위브트레지움,1
1117012900|서울특별시 용산구 이촌로14길 7|동원베네스트,1
1117012900|서울특별시 용산구 이촌로71길 10|한가람,1
1117012900|서울특별시 용산구 이촌로34길 29|현대한강,1
1117012900|서울특별시 용산구 이촌로58길 19|보람더하임,1
1117012900|서울특별시 용산구 이촌로58길 16|한강동부,1
1117012900|서울특별시 용산구 이촌로 181|한강(대우),1
1117012900|서울특별시 용산구 이촌로87길 21|이촌코오롱(A),1
1117012900|서울특별시 용산구 이촌로89길 32|이촌코오롱(B),1
1117012900|서울특별시 용산구 이촌로 100-8|동아그린,1
1117012900|서울특별시 용산구 이촌로2가길 66|북한강(성원),1
1117012900|서울특별시 용산구 이촌로87길 14|강촌,1
1117012900|서울특별시 용산구 이촌로 193|우성,1
1117012900|서울특별시 용산구 이촌로34길 10|강서,1
1117012900|서울특별시 용산구 이촌로14길 11-6|이촌시범,1
1117012900|서울특별시 용산구 이촌로18길 3-7|장미(203-14),1
1117012900|서울특별시 용산구 이촌로2가길 36|시범(중산1차),1
1117013000|서울특별시 용산구 이태원로27나길 40|준아트빌,1
1117013000|서울특별시 용산구 이태원로27나길 36|메이(124-12),1
1117013000|서울특별시 용산구 이태원로27다길 11|남산힐레지던스,1
1117013000|서울특별시 용산구 녹사평대로42길 27|퍼시픽맨션골드,1
1117013000|서울특별시 용산구 장문로 27|청화1,1
1117013000|서울특별시 용산구 회나무로13가길 6|다원,1
1117013000|서울특별시 용산구 이태원로27길 62-34|The Plus Ⅲ,1
1117013000|서울특별시 용산구 회나무로21길 7|창덕아파트,1
1117013000|서울특별시 용산구 녹사평대로 286|주공1,1
1117013000|서울특별시 용산구 이태원로20길 31|이태원(이테크빌),1
1117013000|서울특별시 용산구 녹사평대로 254|남산대림,1
1117013000|서울특별시 용산구 녹사평대로 250-1|용산동아파트,1
1117013100|서울특별시 용산구 한남대로 91|나인원 한남,1
1117013100|서울특별시 용산구 독서당로 90|형우베스트빌3차,1
1117013100|서울특별시 용산구 독서당로 111|한남더힐,1
1117013100|서울특별시 용산구 서빙고로 417|현대하이페리온II,1
1117013100|서울특별시 용산구 한남대로10길 16|르가든더메인한남,1
1117013100|서울특별시 용산구 유엔빌리지길 200-16|힐탑트레져1동,1
1117013100|서울특별시 용산구 서빙고로 413|현대하이페리온,1
1117013100|서울특별시 용산구 한남대로36길 54|한남힐사이드(726-111),1
1117013100|서울특별시 용산구 독서당로 123|아울스스퀘어,1
1117013100|서울특별시 용산구 유엔빌리지길 11|트윈빌 에이동,1
1117013100|서울특별시 용산구 유엔빌리지길 230|한남동UNVILLAGE루하우스,1
